STATE_CODE_001,COUNTY_CODE_003,FEATURES_DESC_006A,LAT_016,LONG_017,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,PIER_PROTECTION_111
47,189,'BRANCH',35595580.0,86115051.0,2.0,8.0,1965.0,2,19.0,N,N,N,7,5,
47,189,'BRANCH',35575281.0,86103402.0,2.0,8.0,1930.0,2,19.0,N,N,N,7,7,
47,189,'BRANCH',36062250.0,86245507.0,2.0,8.0,1935.0,2,19.0,N,N,N,7,5,
47,189,'OVERFLOW',36060931.0,86245689.0,2.0,8.0,1960.0,2,19.0,N,N,N,7,7,
47,189,'HURRICANE CREEK',36031626.0,86251979.0,2.0,8.0,1970.0,3,2.0,6,5,5,8,N,
47,189,'PURTLE CREEK',36000534.0,86024153.0,2.0,8.0,1995.0,2,19.0,N,N,N,8,6,
47,189,'GOOSE CREEK',36035202.0,86033583.0,2.0,8.0,1960.0,2,4.0,7,6,6,6,N,
47,189,'GOOSE CREEK',36033059.0,86040120.0,2.0,8.0,1965.0,2,19.0,N,N,N,6,6,
47,189,'BRANCH',36014830.0,86030353.0,2.0,8.0,1965.0,2,19.0,N,N,N,7,6,
47,189,'PURTLE CREEK',36004548.0,86023480.0,2.0,8.0,1960.0,2,19.0,N,N,N,7,6,
47,189,'PURTLE CREEK',35593120.0,86024081.0,2.0,8.0,1960.0,2,19.0,N,N,N,5,5,
47,189,'DRY FORK CREEK',36100846.0,86073431.0,2.0,8.0,1928.0,2,19.0,N,N,N,7,5,
47,189,'LITTLE CANEY BRANCH',36090408.0,86075376.0,2.0,8.0,1929.0,1,4.0,7,7,7,7,N,
47,189,'BRANCH',36000937.0,86142166.0,2.0,8.0,1975.0,2,19.0,N,N,N,7,7,
47,189,'WILLIAMS BRANCH',36001441.0,86131434.0,2.0,8.0,1970.0,2,19.0,N,N,N,7,7,
47,189,'BRANCH',36003168.0,86083523.0,2.0,8.0,1965.0,2,19.0,N,N,N,7,7,
47,189,'SMITH FORK CREEK',36011068.0,86073324.0,2.0,8.0,1928.0,1,11.0,4,4,5,6,N,
47,189,'SMITH FORK CREEK',36011236.0,86072898.0,2.0,8.0,1927.0,1,11.0,4,4,6,7,N,
47,189,'BARTONS CREEK',36151068.0,86195328.0,2.0,19.0,1973.0,6,2.0,7,7,7,7,N,
47,189,'HURRICANE CREEK',36034194.0,86225843.0,2.0,7.0,1975.0,2,19.0,N,N,N,5,5,
47,189,'SPENCER CREEK',36142046.0,86240281.0,2.0,17.0,1978.0,2,19.0,N,N,N,7,7,
47,189,'ROUND LICK CREEK',36060090.0,86075269.0,4.0,7.0,1921.0,1,11.0,6,6,6,7,N,
